Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://bloomberg.com,https://bloomberg.com/feedback,Bloomberg,Business,Enabled,,,article,,bloomberg.com,Business,22,
https://pcmag.com,https://pcmag.com/reviews/birdkiss-smart-bird-feeder-with-solar-panel,PC Magazine,Technology,Enabled,,,article,,pcmag.com,Technology,23,
https://howtogeek.com,https://feeds.howtogeek.com/HowToGeek,How-To Geek,Technology,Enabled,,,article,,howtogeek.com,Technology,24,
https://mayoclinic.org,https://mayoclinic.org/rss,Mayo Clinic,Health,Enabled,,,article,,mayoclinic.org,Health,25,
https://lifewire.com,https://www.lifewire.com/feeds/google-news,Lifewire,Technology,Enabled,,,article,,lifewire.com,Technology,26,
https://xda-developers.com,https://xda-developers.com/feed/,XDA Developers,Technology,Enabled,,,article,,xda-developers.com,Technology,27,
https://screenrant.com,https://screenrant.com/feed/,Screen Rant,Entertainment,Enabled,,,article,,screenrant.com,Top Sources; Entertainment,28,
https://espncricinfo.com,https://www.espncricinfo.com/rss/content/story/feeds/0.xml,ESPN Cricinfo,Sports,Enabled,,,article,,espncricinfo.com,Sports,29,
https://techradar.com,https://www.techradar.com/rss,TechRadar,Technology,Enabled,,,article,,techradar.com,Technology,30,
https://sammobile.com,https://www.sammobile.com/feed/,SamMobile,Technology,Enabled,,,article,,sammobile.com,Technology,31,
https://ign.com,https://feeds.ign.com/ign/reviews,IGN,Gaming,Enabled,,,article,,ign.com,Gaming,32,
https://firstpost.com,https://www.firstpost.com/rss/india.xml,Firstpost,Top News,Enabled,,,article,,firstpost.com,Top News,33,
https://digit.in,https://www.digit.in/rss-feed/,Digit,Technology,Enabled,,,article,,digit.in,Technology,34,
https://gadgetsnow.com,https://gadgetsnow.com/feedback.cms,Gadgets Now,Technology,Enabled,,,article,,gadgetsnow.com,Technology,35,
https://techadvisor.com,https://www.techadvisor.com/en-us/feed,Tech Advisor,Technology,Enabled,,,article,,techadvisor.com,Technology,36,
