Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank
lne.es,https://www.lne.es/rss/,La Nueva España,Top News,Disabled,,,article,,www.lne.es,Top News,75
muyinteresante.es,https://www.muyinteresante.es/rss,MuyInteresante.es,Culture,Disabled,,,article,,www.muyinteresante.es,Culture,76
elle.com,https://www.elle.com/es/rss/all.xml/,Elle,Fashion,Disabled,,,article,,www.elle.com,Fashion,77
psicologiaymente.com,https://psicologiaymente.com/feeds/blog/rss,Psicología y Mente,Health,Disabled,,,article,,psicologiaymente.com,Health,78
diariovasco.com,https://www.diariovasco.com/rss/2.0/portada,Diario Vasco,Top News,Disabled,,,article,,clasica-san-sebastian.diariovasco.com;www.diariovasco.com,Top News,79
dailymail.co.uk,https://www.dailymail.co.uk/news/spain/index.rss,DailyMail Spain,World News,Disabled,,,article,,www.dailymail.co.uk,World News,80
levante-emv.com,https://www.levante-emv.com/rss/,Levante-EMV,Top News,Disabled,,,article,,levante-emv.com,Top News,81
motorpasion.com,https://www.motorpasion.com/index.xml,Motorpasión,Sports,Disabled,,,article,,motorpasion.com,Sports,82
investopedia.com,https://www.investopedia.com/feeds/google-news,Investopedia,Business,Disabled,,,article,,investopedia.com,Business,83
applesfera.com,https://www.applesfera.com/index.xml,Applesfera,Technology,Disabled,,,article,,applesfera.com,Technology,84
